V (m/s),T2-VLM2-3.0kg-x0.2m-z-0.1m-Inviscid, , 
     104.0109,   0.005712637, , 
     65.97225,    0.01419945, , 
     52.19373,    0.02268597, , 
       44.526,    0.03117214, , 
     39.47591,     0.0396579, , 
     35.82859,    0.04814317, , 
     33.03557,    0.05662791, , 
     30.80821,    0.06511203, , 
      28.9782,    0.07359549, , 
     27.43993,    0.08207822, , 
     26.12333,    0.09056015, , 
     24.97981,    0.09904122, , 
     23.97451,     0.1075214, , 
     23.08166,     0.1160005, , 
     22.28177,     0.1244786, , 
     21.55975,     0.1329556, , 
     20.90374,     0.1414315, , 
     20.30427,      0.149906, , 
     19.75367,     0.1583793, , 
     19.24564,     0.1668513, , 
     18.77497,     0.1753217, , 
     18.33729,     0.1837907, , 
     17.92894,     0.1922582, , 
     17.54678,      0.200724, , 
     17.18812,     0.2091882, , 
     16.85067,     0.2176506, , 
      16.5324,     0.2261112, , 
     16.23158,     0.2345699, , 
     15.94667,     0.2430267, , 
     15.67632,     0.2514815, , 
     15.41932,     0.2599343, , 
     15.17463,     0.2683849, , 
     14.94128,     0.2768333, , 
     14.71844,     0.2852795, , 
     14.50533,     0.2937234, , 
     14.30128,     0.3021649, , 
     14.10566,      0.310604, , 
     13.91791,     0.3190406, , 
     13.73752,     0.3274747, , 
     13.56401,     0.3359061, , 
     13.39697,     0.3443348, , 
       13.236,     0.3527608, , 
     13.08075,      0.361184, , 
     12.93089,     0.3696043, , 
     12.78612,     0.3780217, , 
     12.64615,     0.3864361, , 
     12.51072,     0.3948474, , 
     12.37961,     0.4032556, , 
     12.25257,     0.4116607, , 
     12.12942,     0.4200625, , 
     12.00996,      0.428461, , 
       11.894,     0.4368561, , 
     11.78138,     0.4452478, , 
     11.67195,      0.453636, , 
     11.56555,     0.4620207, , 
     11.46206,     0.4704018, , 
     11.36134,     0.4787792, , 
     11.26327,     0.4871528, , 
     11.16774,     0.4955227, , 
     11.07464,     0.5038887, , 
     10.98388,     0.5122508, , 
     10.89535,     0.5206089, , 
     10.80897,      0.528963, , 
     10.64232,     0.5456589, , 
      10.2579,     0.5873235, , 
     9.913221,     0.6288752, , 
      9.60197,     0.6703064, , 
     9.319146,     0.7116097, , 
      9.06074,     0.7527777, , 
     8.823495,     0.7938031, , 
     8.604732,     0.8346788, , 
     8.402227,     0.8753974, , 
     8.214113,     0.9159521, , 
     8.038812,     0.9563356, , 
     7.874979,     0.9965413, , 
     7.721459,      1.036562, , 
     7.577255,      1.076391, , 
     7.441501,      1.116022, , 
      7.31344,      1.155449, , 
     7.192405,      1.194664, , 
     7.077812,      1.233662, , 
      6.96914,      1.272435, , 
     6.865926,      1.310979, , 
     6.767759,      1.349287, , 
     6.674267,      1.387353, , 
     6.585118,      1.425171, , 
     6.500012,      1.462735, , 
     6.418676,      1.500041, , 
     6.340865,      1.537082, , 
     6.266354,      1.573853, , 
     6.194938,      1.610349, , 
     6.126431,      1.646565, , 
     6.060661,      1.682496, , 
      5.99747,      1.718137, , 
     5.936715,      1.753484, , 
      5.87826,      1.788531, , 
     5.821984,      1.823275, , 
     5.767771,       1.85771, , 
     5.715517,      1.891834, , 
     5.665122,      1.925642, , 
     5.616496,       1.95913, , 
     5.569553,      1.992294, , 
     5.524213,      2.025131, , 
     5.480404,      2.057638, , 
     5.438055,       2.08981, , 
     5.397101,      2.121646, , 
     5.357482,      2.153142, , 
      5.31914,      2.184294, , 
     5.282022,      2.215102, , 
     5.246076,      2.245561, , 
     5.211256,       2.27567, , 
     5.177516,      2.305426, , 
     5.144814,      2.334827, , 
      5.11311,      2.363871, , 
     5.082365,      2.392557, , 
     5.052544,      2.420883, , 
     5.023613,      2.448847, , 
      4.99554,      2.476448, , 
     4.968293,      2.503685, , 
     4.941844,      2.530557, , 
     4.916164,      2.557062, , 
     4.891229,        2.5832, , 
     4.867011,      2.608971, , 
     4.843489,      2.634374, , 
     4.820637,      2.659409, , 
     4.798436,      2.684075, , 
     4.776863,      2.708373, , 
       4.7559,      2.732302, , 
     4.735526,      2.755863, , 
     4.715724,      2.779057, , 
     4.696476,      2.801883, , 
     4.677765,      2.824342, , 
     4.659576,      2.846435, , 
     4.641892,      2.868164, , 
     4.624699,      2.889529, , 
     4.607983,      2.910531, , 
     4.591731,      2.931172, , 
     4.575927,      2.951453, , 
     4.560561,      2.971375, , 
      4.54562,      2.990941, , 
     4.531092,      3.010151, , 
     4.516965,      3.029009, , 

