CD_induced,T2-VLM2-3.0kg-x0.2m-z-0.1m-Inviscid, , 
  0.003226928,   0.005712637, , 
  0.003228473,    0.01419945, , 
  0.003237184,    0.02268597, , 
  0.003253058,    0.03117214, , 
  0.003276093,     0.0396579, , 
  0.003306289,    0.04814317, , 
  0.003343642,    0.05662791, , 
   0.00338815,    0.06511203, , 
  0.003439812,    0.07359549, , 
  0.003498623,    0.08207822, , 
  0.003564582,    0.09056015, , 
  0.003637685,    0.09904122, , 
  0.003717929,     0.1075214, , 
   0.00380531,     0.1160005, , 
  0.003899825,     0.1244786, , 
  0.004001469,     0.1329556, , 
  0.004110238,     0.1414315, , 
  0.004226127,      0.149906, , 
  0.004349133,     0.1583793, , 
  0.004479249,     0.1668513, , 
  0.004616471,     0.1753217, , 
  0.004760794,     0.1837907, , 
  0.004912212,     0.1922582, , 
   0.00507072,      0.200724, , 
   0.00523631,     0.2091882, , 
  0.005408978,     0.2176506, , 
  0.005588717,     0.2261112, , 
  0.005775519,     0.2345699, , 
  0.005969379,     0.2430267, , 
  0.006170289,     0.2514815, , 
  0.006378241,     0.2599343, , 
  0.006593229,     0.2683849, , 
  0.006815245,     0.2768333, , 
  0.007044281,     0.2852795, , 
  0.007280328,     0.2937234, , 
  0.007523379,     0.3021649, , 
  0.007773424,      0.310604, , 
  0.008030455,     0.3190406, , 
  0.008294463,     0.3274747, , 
  0.008565439,     0.3359061, , 
  0.008843373,     0.3443348, , 
  0.009128256,     0.3527608, , 
  0.009420078,      0.361184, , 
  0.009718828,     0.3696043, , 
    0.0100245,     0.3780217, , 
   0.01033707,     0.3864361, , 
   0.01065655,     0.3948474, , 
   0.01098291,     0.4032556, , 
   0.01131615,     0.4116607, , 
   0.01165625,     0.4200625, , 
    0.0120032,      0.428461, , 
   0.01235699,     0.4368561, , 
   0.01271762,     0.4452478, , 
   0.01308506,      0.453636, , 
    0.0134593,     0.4620207, , 
   0.01384033,     0.4704018, , 
   0.01422815,     0.4787792, , 
   0.01462273,     0.4871528, , 
   0.01502406,     0.4955227, , 
   0.01543213,     0.5038887, , 
   0.01584693,     0.5122508, , 
   0.01626844,     0.5206089, , 
   0.01669665,      0.528963, , 
    0.0175731,     0.5456589, , 
   0.01988043,     0.5873235, , 
    0.0223522,     0.6288752, , 
   0.02498638,     0.6703064, , 
   0.02778083,     0.7116097, , 
   0.03073326,     0.7527777, , 
   0.03384126,     0.7938031, , 
   0.03710232,     0.8346788, , 
   0.04051379,     0.8753974, , 
   0.04407291,     0.9159521, , 
   0.04777682,     0.9563356, , 
   0.05162253,     0.9965413, , 
   0.05560695,      1.036562, , 
   0.05972687,      1.076391, , 
   0.06397898,      1.116022, , 
   0.06835988,      1.155449, , 
   0.07286603,      1.194664, , 
   0.07749385,      1.233662, , 
    0.0822396,      1.272435, , 
    0.0870995,      1.310979, , 
   0.09206963,      1.349287, , 
   0.09714604,      1.387353, , 
    0.1023246,      1.425171, , 
    0.1076013,      1.462735, , 
    0.1129717,      1.500041, , 
    0.1184316,      1.537082, , 
    0.1239767,      1.573853, , 
    0.1296024,      1.610349, , 
    0.1353043,      1.646565, , 
    0.1410777,      1.682496, , 
     0.146918,      1.718137, , 
    0.1528205,      1.753484, , 
    0.1587805,      1.788531, , 
    0.1647931,      1.823275, , 
    0.1708534,       1.85771, , 
    0.1769566,      1.891834, , 
    0.1830978,      1.925642, , 
    0.1892718,       1.95913, , 
    0.1954737,      1.992294, , 
    0.2016985,      2.025131, , 
    0.2079411,      2.057638, , 
    0.2141963,       2.08981, , 
     0.220459,      2.121646, , 
    0.2267242,      2.153142, , 
    0.2329866,      2.184294, , 
    0.2392411,      2.215102, , 
    0.2454825,      2.245561, , 
    0.2517056,       2.27567, , 
    0.2579053,      2.305426, , 
    0.2640765,      2.334827, , 
    0.2702138,      2.363871, , 
    0.2763122,      2.392557, , 
    0.2823667,      2.420883, , 
    0.2883719,      2.448847, , 
    0.2943229,      2.476448, , 
    0.3002147,      2.503685, , 
     0.306042,      2.530557, , 
    0.3118001,      2.557062, , 
    0.3174838,        2.5832, , 
    0.3230884,      2.608971, , 
    0.3286088,      2.634374, , 
    0.3340403,      2.659409, , 
    0.3393781,      2.684075, , 
    0.3446174,      2.708373, , 
    0.3497537,      2.732302, , 
    0.3547822,      2.755863, , 
    0.3596984,      2.779057, , 
     0.364498,      2.801883, , 
    0.3691763,      2.824342, , 
    0.3737292,      2.846435, , 
    0.3781523,      2.868164, , 
    0.3824414,      2.889529, , 
    0.3865926,      2.910531, , 
    0.3906017,      2.931172, , 
    0.3944649,      2.951453, , 
    0.3981782,      2.971375, , 
     0.401738,      2.990941, , 
    0.4051406,      3.010151, , 
    0.4083825,      3.029009, , 

