V (m/s),T2-VLM2-3.0kg-x0.2m-z-0.1m-Inviscid, , 
     104.0109,   0.003226928, , 
     65.97225,   0.003228473, , 
     52.19373,   0.003237184, , 
       44.526,   0.003253058, , 
     39.47591,   0.003276093, , 
     35.82859,   0.003306289, , 
     33.03557,   0.003343642, , 
     30.80821,    0.00338815, , 
      28.9782,   0.003439812, , 
     27.43993,   0.003498623, , 
     26.12333,   0.003564582, , 
     24.97981,   0.003637685, , 
     23.97451,   0.003717929, , 
     23.08166,    0.00380531, , 
     22.28177,   0.003899825, , 
     21.55975,   0.004001469, , 
     20.90374,   0.004110238, , 
     20.30427,   0.004226127, , 
     19.75367,   0.004349133, , 
     19.24564,   0.004479249, , 
     18.77497,   0.004616471, , 
     18.33729,   0.004760794, , 
     17.92894,   0.004912212, , 
     17.54678,    0.00507072, , 
     17.18812,    0.00523631, , 
     16.85067,   0.005408978, , 
      16.5324,   0.005588717, , 
     16.23158,   0.005775519, , 
     15.94667,   0.005969379, , 
     15.67632,   0.006170289, , 
     15.41932,   0.006378241, , 
     15.17463,   0.006593229, , 
     14.94128,   0.006815245, , 
     14.71844,   0.007044281, , 
     14.50533,   0.007280328, , 
     14.30128,   0.007523379, , 
     14.10566,   0.007773424, , 
     13.91791,   0.008030455, , 
     13.73752,   0.008294463, , 
     13.56401,   0.008565439, , 
     13.39697,   0.008843373, , 
       13.236,   0.009128256, , 
     13.08075,   0.009420078, , 
     12.93089,   0.009718828, , 
     12.78612,     0.0100245, , 
     12.64615,    0.01033707, , 
     12.51072,    0.01065655, , 
     12.37961,    0.01098291, , 
     12.25257,    0.01131615, , 
     12.12942,    0.01165625, , 
     12.00996,     0.0120032, , 
       11.894,    0.01235699, , 
     11.78138,    0.01271762, , 
     11.67195,    0.01308506, , 
     11.56555,     0.0134593, , 
     11.46206,    0.01384033, , 
     11.36134,    0.01422815, , 
     11.26327,    0.01462273, , 
     11.16774,    0.01502406, , 
     11.07464,    0.01543213, , 
     10.98388,    0.01584693, , 
     10.89535,    0.01626844, , 
     10.80897,    0.01669665, , 
     10.64232,     0.0175731, , 
      10.2579,    0.01988043, , 
     9.913221,     0.0223522, , 
      9.60197,    0.02498638, , 
     9.319146,    0.02778083, , 
      9.06074,    0.03073326, , 
     8.823495,    0.03384126, , 
     8.604732,    0.03710232, , 
     8.402227,    0.04051379, , 
     8.214113,    0.04407291, , 
     8.038812,    0.04777682, , 
     7.874979,    0.05162253, , 
     7.721459,    0.05560695, , 
     7.577255,    0.05972687, , 
     7.441501,    0.06397898, , 
      7.31344,    0.06835988, , 
     7.192405,    0.07286603, , 
     7.077812,    0.07749385, , 
      6.96914,     0.0822396, , 
     6.865926,     0.0870995, , 
     6.767759,    0.09206963, , 
     6.674267,    0.09714604, , 
     6.585118,     0.1023246, , 
     6.500012,     0.1076013, , 
     6.418676,     0.1129717, , 
     6.340865,     0.1184316, , 
     6.266354,     0.1239767, , 
     6.194938,     0.1296024, , 
     6.126431,     0.1353043, , 
     6.060661,     0.1410777, , 
      5.99747,      0.146918, , 
     5.936715,     0.1528205, , 
      5.87826,     0.1587805, , 
     5.821984,     0.1647931, , 
     5.767771,     0.1708534, , 
     5.715517,     0.1769566, , 
     5.665122,     0.1830978, , 
     5.616496,     0.1892718, , 
     5.569553,     0.1954737, , 
     5.524213,     0.2016985, , 
     5.480404,     0.2079411, , 
     5.438055,     0.2141963, , 
     5.397101,      0.220459, , 
     5.357482,     0.2267242, , 
      5.31914,     0.2329866, , 
     5.282022,     0.2392411, , 
     5.246076,     0.2454825, , 
     5.211256,     0.2517056, , 
     5.177516,     0.2579053, , 
     5.144814,     0.2640765, , 
      5.11311,     0.2702138, , 
     5.082365,     0.2763122, , 
     5.052544,     0.2823667, , 
     5.023613,     0.2883719, , 
      4.99554,     0.2943229, , 
     4.968293,     0.3002147, , 
     4.941844,      0.306042, , 
     4.916164,     0.3118001, , 
     4.891229,     0.3174838, , 
     4.867011,     0.3230884, , 
     4.843489,     0.3286088, , 
     4.820637,     0.3340403, , 
     4.798436,     0.3393781, , 
     4.776863,     0.3446174, , 
       4.7559,     0.3497537, , 
     4.735526,     0.3547822, , 
     4.715724,     0.3596984, , 
     4.696476,      0.364498, , 
     4.677765,     0.3691763, , 
     4.659576,     0.3737292, , 
     4.641892,     0.3781523, , 
     4.624699,     0.3824414, , 
     4.607983,     0.3865926, , 
     4.591731,     0.3906017, , 
     4.575927,     0.3944649, , 
     4.560561,     0.3981782, , 
      4.54562,      0.401738, , 
     4.531092,     0.4051406, , 
     4.516965,     0.4083825, , 

